source_kind,source_path,source_sha256,target_path,current_sha256,current_size_bytes,decision
Git包恢复,历史资料/早期方案/09_BEH图源项目_不可违背的证据与工程原则.md,43c51d21f6d9bab1aab736d1da7c48e4c5ea1a5ea46cf2ebd60c12faaa7ec65e,历史资料/早期方案/09_BEH图源项目_不可违背的证据与工程原则.md,43c51d21f6d9bab1aab736d1da7c48e4c5ea1a5ea46cf2ebd60c12faaa7ec65e,8380,保留
Git包恢复,历史资料/早期方案/BEH_JRE_OpenJDK工具包只读分析指导.md,58d9916261d07847efc4b27cc82e9fa034e6e6795efb18864e9dd34142dcca52,历史资料/早期方案/BEH_JRE_OpenJDK工具包只读分析指导.md,58d9916261d07847efc4b27cc82e9fa034e6e6795efb18864e9dd34142dcca52,14468,保留
Git包恢复,历史资料/早期方案/BEH_Native_Headless_Full_Scene_可行性验证文档.md,b95082236704e7a0ff33ff1d43915e5e8cf9367f83ed07de98b22647d224cee6,历史资料/早期方案/BEH_Native_Headless_Full_Scene_可行性验证文档.md,b95082236704e7a0ff33ff1d43915e5e8cf9367f83ed07de98b22647d224cee6,13763,保留
Git包恢复,历史资料/早期方案/BEH_XML_01_02_03三文件差分分析提示词.md,c01a01cee14da0ade031c26cc8c2098010fe777478bd3dbb59de4801bbfd4ae7,历史资料/早期方案/BEH_XML_01_02_03三文件差分分析提示词.md,c01a01cee14da0ade031c26cc8c2098010fe777478bd3dbb59de4801bbfd4ae7,9863,保留
Git包恢复,历史资料/早期方案/BEH人机统一图源工作台_圈选解释_区域生成_草图协同_AI共创设计书(1).md,2702ed1b3aa003052adf9f4f7134cfbecb4094fbafe4debb28dbe485d0e699ba,历史资料/早期方案/BEH人机统一图源工作台_圈选解释_区域生成_草图协同_AI共创设计书.md,2702ed1b3aa003052adf9f4f7134cfbecb4094fbafe4debb28dbe485d0e699ba,22380,归档/调整位置
Git包恢复,历史资料/早期方案/BEH人机统一图源工作台_圈选解释_区域生成_草图协同_AI共创设计书.md,2702ed1b3aa003052adf9f4f7134cfbecb4094fbafe4debb28dbe485d0e699ba,历史资料/早期方案/BEH人机统一图源工作台_圈选解释_区域生成_草图协同_AI共创设计书.md,2702ed1b3aa003052adf9f4f7134cfbecb4094fbafe4debb28dbe485d0e699ba,22380,相同内容合并到同一位置
Git包恢复,历史资料/早期方案/BEH图元簇_结构化GraphIR与可审计Review设计.md,f8c629cfc8ffed605ed4079eb1482c54b1ddd1699c3dcff65fece218eab3131b,历史资料/早期方案/BEH图元簇_结构化GraphIR与可审计Review设计.md,f8c629cfc8ffed605ed4079eb1482c54b1ddd1699c3dcff65fece218eab3131b,15501,保留
Git包恢复,历史资料/早期方案/Codex_BEH_AI接入能力检测器开发指南.md,3a55e29cf1155a9227aecbaa88bfcfc49eda3d3cc90f7bd9c47bfbee64e63815,历史资料/早期方案/Codex_BEH_AI接入能力检测器开发指南.md,3a55e29cf1155a9227aecbaa88bfcfc49eda3d3cc90f7bd9c47bfbee64e63815,23957,保留
Git包恢复,历史资料/早期方案/Codex_工业PLC自动化XML标准指纹检测器_BEH成分分析_开发行动指南.md,a925584316113ab20dab4a47b9bb0b1d5b941e81017212867110f527f2aff7c1,历史资料/早期方案/Codex_工业PLC自动化XML标准指纹检测器_BEH成分分析_开发行动指南.md,a925584316113ab20dab4a47b9bb0b1d5b941e81017212867110f527f2aff7c1,32357,保留
Git包恢复,历史资料/早期方案/PLC_BEH_XML连接关系与视觉连通簇识别说明.md,5b0fe5941af2cc65093f3627bc3226427bfe41c597f5da6b1eecc1dcfe8586cc,历史资料/早期方案/PLC_BEH_XML连接关系与视觉连通簇识别说明.md,5b0fe5941af2cc65093f3627bc3226427bfe41c597f5da6b1eecc1dcfe8586cc,10671,保留
Git包恢复,历史资料/早期方案/PLCopen_IEC61131-10_XML可见连线与箭头方向判定指南_BEH映射.md,26febcb96edd140cc5c691d6536f13982dc87d0b8c607a0504b66bdd1defc53b,历史资料/早期方案/PLCopen_IEC61131-10_XML可见连线与箭头方向判定指南_BEH映射.md,26febcb96edd140cc5c691d6536f13982dc87d0b8c607a0504b66bdd1defc53b,30317,保留
